x y z
0.0 0.0625 1269.3383172879865
0.0 0.125 1214.1181852131085
0.0 0.1875 1185.6138391823026
0.0 0.25 1168.0243420018219
0.0 0.3125 1156.3976295322832
0.0 0.375 1148.5277431556387
0.0 0.4375 1143.237810108399
0.0 0.5 1139.8252166894192
0.0 0.5625 1137.8366536789824
0.0 0.625 1136.9625088443534
0.0 0.6875 1136.981863147655
0.0 0.75 1137.7315217554594
0.0 0.8125 1139.0874838129128
0.0 0.875 1140.9532990287883
0.0 0.9375 1143.2524510749176
0.0 1.0 1145.9232042161696
0.0 1.0625 1148.915015052086
0.0 1.125 1152.185971502629
0.0 1.1875 1155.700925188192
0.0 1.25 1159.4301034588038
0.0 1.3125 1163.3480604556657
0.0 1.375 1167.4328724504105
0.0 1.4375 1171.665512233325
0.0 1.5 1176.0293567794117
0.0 1.5625 1180.5097955157419
0.0 1.625 1185.093915494306
0.0 1.6875 1189.7702460406695
0.0 1.75 1194.528549889889
0.0 1.8125 1199.359651014232
0.0 1.875 1204.2552916736154
0.0 1.9375 1209.2080129352103
0.0 2.0 1214.2110541881914

0.0625 0.0625 1193.2291978027963
0.0625 0.125 1168.4857012362538
0.0625 0.1875 1153.6850405750545
0.0625 0.25 1144.0084205971766
0.0625 0.3125 1137.5562061261808
0.0625 0.375 1133.3387765272041
0.0625 0.4375 1130.7649800668619
0.0625 0.5 1129.4504603183157
0.0625 0.5625 1129.1301588958142
0.0625 0.625 1129.6131005779648
0.0625 0.6875 1130.7569115918584
0.0625 0.75 1132.4524974592161
0.0625 0.8125 1134.6143511144576
0.0625 0.875 1137.1741665514166
0.0625 0.9375 1140.0764858731368
0.0625 1.0 1143.2756465259276
0.0625 1.0625 1146.7335874930309
0.0625 1.125 1150.4182390729118
0.0625 1.1875 1154.3023189086794
0.0625 1.25 1158.362416918585
0.0625 1.3125 1162.5782895912687
0.0625 1.375 1166.9323085831795
0.0625 1.4375 1171.4090247698439
0.0625 1.5 1175.994819871647
0.0625 1.5625 1180.6776253361347
0.0625 1.625 1185.4466934607021
0.0625 1.6875 1190.292409515086
0.0625 1.75 1195.2061363500698
0.0625 1.8125 1200.1800849741978
0.0625 1.875 1205.2072060580397
0.0625 1.9375 1210.2810984319572
0.0625 2.0 1215.3959314804888

0.125 0.0625 1161.0122655649059
0.125 0.125 1144.201879835605
0.125 0.1875 1134.6010073984264
0.125 0.25 1128.6006305141696
0.125 0.3125 1124.8855476198805
0.125 0.375 1122.7844233547614
0.125 0.4375 1121.8946996714224
0.125 0.5 1121.951035317661
0.125 0.5625 1122.7672545592857
0.125 0.625 1124.2067645751486
0.125 0.6875 1126.165915845847
0.125 0.75 1128.5639452897087
0.125 0.8125 1131.3365563142622
0.125 0.875 1134.4316401651067
0.125 0.9375 1137.8063231647031
0.125 1.0 1141.4248692671144
0.125 1.0625 1145.2571534442334
0.125 1.125 1149.2775271341327
0.125 1.1875 1153.463959673327
0.125 1.25 1157.7973781925155
0.125 1.3125 1162.2611529259889
0.125 1.375 1166.8406908447175
0.125 1.4375 1171.5231111848589
0.125 1.5 1176.296983718867
0.125 1.5625 1181.1521156761053
0.125 1.625 1186.079376799257
0.125 1.6875 1191.070554594419
0.125 1.75 1196.1182337063747
0.125 1.8125 1201.2156947332278
0.125 1.875 1206.3568288271351
0.125 1.9375 1211.5360652073223
0.125 2.0 1216.7483093058252

0.1875 0.0625 1141.8050124130987
0.1875 0.125 1128.660285390065
0.1875 0.1875 1121.7956301455802
0.1875 0.25 1117.9150070555345
0.1875 0.3125 1115.8893912161473
0.1875 0.375 1115.1652955443262
0.1875 0.4375 1115.4184623899023
0.1875 0.5 1116.4376400348533
0.1875 0.5625 1118.0752332999882
0.1875 0.625 1120.2229160281022
0.1875 0.6875 1122.7982267887153
0.1875 0.75 1125.736600009467
0.1875 0.8125 1128.9863353679557
0.1875 0.875 1132.5052684037894
0.1875 0.9375 1136.2584815511366
0.1875 1.0 1140.2166804695883
0.1875 1.0625 1144.3550118031283
0.1875 1.125 1148.6521830635388
0.1875 1.1875 1153.0897948362156
0.1875 1.25 1157.6518256373702
0.1875 1.3125 1162.3242287200392
0.1875 1.375 1167.094612422163
0.1875 1.4375 1171.9519838276767
0.1875 1.5 1176.8865410751496
0.1875 1.5625 1181.889503510572
0.1875 1.625 1186.9529716108489
0.1875 1.6875 1192.069810565746
0.1875 1.75 1197.2335528358904
0.1875 1.8125 1202.4383160609095
0.1875 1.875 1207.67873348207
0.1875 1.9375 1212.9498946414628
0.1875 2.0 1218.2472945766635

0.25 0.0625 1128.9316746310303
0.25 0.125 1117.8948744182956
0.25 0.1875 1112.7142227884858
0.25 0.25 1110.2088283359158
0.25 0.3125 1109.3264606570294
0.25 0.375 1109.5668462093952
0.25 0.4375 1110.6437815621484
0.25 0.5 1112.3739575825073
0.25 0.5625 1114.630764096665
0.25 0.625 1117.3219437792923
0.25 0.6875 1120.3775495922991
0.25 0.75 1123.7429083568354
0.25 0.8125 1127.3742434399417
0.25 0.875 1131.235812455481
0.25 0.9375 1135.2979583355093
0.25 1.0 1139.5357372460467
0.25 1.0625 1143.9279252223057
0.25 1.125 1148.4562817381936
0.25 1.1875 1153.1049925450207
0.25 1.25 1157.8602406558553
0.25 1.3125 1162.7098708831263
0.25 1.375 1167.6431239508831
0.25 1.4375 1172.6504232026562
0.25 1.5 1177.723201652574
0.25 1.5625 1182.8537603877412
0.25 1.625 1188.0351516216538
0.25 1.6875 1193.2610813373956
0.25 1.75 1198.5258276495451
0.25 1.8125 1203.8241718903846
0.25 1.875 1209.1513400800807
0.25 1.9375 1214.5029529341848
0.25 2.0 1219.8749829386325

0.3125 0.0625 1119.8074888242982
0.3125 0.125 1110.1360219747594
0.3125 0.1875 1106.0928171924731
0.3125 0.25 1104.5487600243885
0.3125 0.3125 1104.488775192727
0.3125 0.375 1105.4399521860357
0.3125 0.4375 1107.1366897970513
0.3125 0.5 1109.4114897726179
0.3125 0.5625 1112.1500796021217
0.3125 0.625 1115.269971636724
0.3125 0.6875 1118.709056408448
0.3125 0.75 1122.419021896674
0.3125 0.8125 1126.3613086515165
0.3125 0.875 1130.5044939194995
0.3125 0.9375 1134.8225280346321
0.3125 1.0 1139.2935035353669
0.3125 1.0625 1143.8987706754851
0.3125 1.125 1148.6222858646533
0.3125 1.1875 1153.4501213322483
0.3125 1.25 1158.370089216263
0.3125 1.3125 1163.3714486640758
0.3125 1.375 1168.4446743304927
0.3125 1.4375 1173.5812710706102
0.3125 1.5 1178.7736239238275
0.3125 1.5625 1184.014875430212
0.3125 1.625 1189.298824377567
0.3125 1.6875 1194.6198415400197
0.3125 1.75 1199.9727990255376
0.3125 1.8125 1205.3530106241167
0.3125 1.875 1210.756181123786
0.3125 1.9375 1216.178362994063
0.3125 2.0 1221.61591916557

0.375 0.0625 1113.1568847153396
0.375 0.125 1104.4388117183964
0.375 0.1875 1101.212778171451
0.375 0.25 1100.376213259884
0.375 0.3125 1100.9340901241824
0.375 0.375 1102.4289266965409
0.375 0.4375 1104.60719043586
0.375 0.5 1107.3109605461593
0.375 0.5625 1110.4336628517594
0.375 0.625 1113.8990688217218
0.375 0.6875 1117.6502106393436
